log_id,user_id,period_id,type_id,date,time,food_name,food_group,quantity,calories,food_national,food_price
180,u000004,p002,T00002,2021-12-05,12:00:00,ข้าวไข่เจียวหมูสับ,ข้าว,1,360,ไทย,40
181,u000002,p003,T00002,2021/12/05,14:00:00,ผัดหอยลาย,ของว่าง,1,93,ไทย,90
182,u000004,p004,T00005,2021-12-05,17:00:00,มะม่วง,ผลไม้,1,100,นานาชาติ,30
183,u000004,p002,T00003,2021-12-05,12:30:00,ลูกชิ้นปิ้ง,ของว่าง,1,100,ไทย,30
184,u000001,p004,T00002,2021/12/05,18:00:00,ผัดหมี่ฮกเกี้ยน,ก๋วยเตี๋ยว,1,796,จีน,96
185,u000002,p005,T00001,2021/12/05,19:00:00,บลูเบอรี่ปั่น,น้ำผลไม้,1,290,ไทย,45
186,u000003,p005,T00002,2021/12/05,20:00:00,ปูนึ่ง,ของว่าง,1,200,ไทย,450
187,u000003,p005,T00003,2021/12/05,20:00:00,ขนมถุง,ขนม,1,140,นานาชาติ,40
188,u000001,p001,T00002,2021/12/05,8:30:00,ข้าวกะเพราเนื้อออสเตรเลีย,ข้าว,1,700,ไทย,100
189,u000002,p001,T00002,2021/12/06,8:30:00,แซนวิชแฮมชีส,ขนมปัง,1,240,นานาชาติ,27
190,u000003,p001,T00002,2021/12/06,8:30:00,โดนัท,ขนม,1,452,ไทย,20
191,u000003,p001,T00001,2021/12/06,8:30:00,กาแฟคาปูชิโนร้อน,กาแฟ,1,200,นานาชาติ,35
192,u000001,p001,T00001,2021/12/06,9:00:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,55
193,u000003,p001,T00002,2021/12/06,9:00:00,โจ๊กไก่,ข้าว,1,120,ไทย,25
194,u000004,p001,T00001,2021-12-06,10:00:00,กาแฟดำ หวานน้อย,กาแฟ,1,50,นานาชาติ,50
195,u000001,p002,T00002,2021/12/06,12:00:00,ข้าวมันไก่,ข้าว,1,618,ไทย,40
196,u000001,p002,T00002,2021/12/06,12:00:00,ข้าวกะเพราหมูไข่ดาว,ข้าว,1,710,ไทย,45
197,u000003,p002,T00002,2021/12/06,12:00:00,สลัดโรล,ของว่าง,1,120,ไทย,45
198,u000003,p002,T00002,2021/12/06,12:00:00,ก๋วยเตี๋ยวหมูต้มยำ,ก๋วยเตี๋ยว,1,300,ไทย,45
199,u000004,p002,T00004,2021-12-06,12:00:00,เค้กกล้วยหอม,ของหวาน,1,120,นานาชาติ,30
200,u000002,p003,T00002,2021/12/06,13:00:00,ส้มตำ,ส้มตำ,1,120,ไทย,60
201,u000004,p003,T00003,2021-12-06,15:00:00,มันฝรั่งทอด,ขนม,1,323,นานาชาติ,25
202,u000001,p004,T00002,2021/12/06,18:00:00,ข้าวขาหมู,ข้าว,1,531,ไทย,40
203,u000003,p004,T00002,2021/12/06,18:00:00,แซลมอนซาชิมิ,กับข้าว,1,179,ญี่ปุ่น,301
204,u000004,p004,T00002,2021-12-06,18:00:00,ข้าวปลาทอด,ข้าว,1,200,ไทย,40
205,u000001,p001,T00002,2021/12/06,8:30:00,โจ๊กหมูใส่ไข่,ข้าว,1,250,ไทย,30
206,u000002,p001,T00002,2021/12/07,8:30:00,โจ๊กหมู,ข้าว,1,200,ไทย,35
207,u000003,p001,T00002,2021/12/07,8:30:00,โจ๊กไก่,ข้าว,1,120,ไทย,25
208,u000003,p001,T00001,2021/12/07,8:30:00,กาแฟคาปูชิโนร้อน,กาแฟ,1,200,นานาชาติ,35
209,u000001,p001,T00001,2021/12/07,9:00:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,55
210,u000004,p001,T00001,2021-12-07,10:00:00,กาแฟดำ,กาแฟ,1,150,นานาชาติ,50
211,u000004,p002,T00002,2021-12-07,12:00:00,ยำถั่วพูหมูสับ,ยำ,1,400,ไทย,60
212,u000002,p003,T00002,2021/12/07,13:00:00,ข้าวขาหมู,ข้าว,1,531,ไทย,55
213,u000002,p003,T00001,2021/12/07,13:45:00,ชาเขียวเย็น,ชา,1,319,นานาชาติ,65
214,u000004,p003,T00004,2021-12-07,15:00:00,ขนมต้ม,ของหวาน,1,600,ไทย,45
215,u000001,p004,T00002,2021/12/07,18:00:00,ข้าวไก่ย่าง,ข้าว,1,350,ไทย,40
216,u000004,p004,T00002,2021-12-07,18:00:00,ส้มตำปูปลาร้า,ส้มตำ,1,200,ไทย,50
217,u000002,p005,T00002,2021/12/07,18:20:00,ข้าวปลาย่างราดซอสญี่ปุ่น,ข้าว,1,650,ญี่ปุ่น,99
218,u000003,p005,T00002,2021/12/07,19:30:00,ข้าวกะเพราหมูกรอบ,ข้าว,1,650,ไทย,45
219,u000001,p001,T00002,2021/12/07,8:30:00,ข้าวแกงส้มไข่เจียว,ข้าว,1,400,ไทย,40
220,u000002,p002,T00002,2021/12/08,12:00:00,ราเมงซุปหมู,ก๋วยเตี๋ยว,1,436,นานาชาติ,220
221,u000002,p003,T00001,2021/12/08,13:00:00,กาแฟคาปูชิโน่,กาแฟ,1,200,นานาชาติ,70
222,u000002,p005,T00002,2021/12/08,18:20:00,ยำวุ้นเส้น,ยำ,1,250,ไทย,50
